cty_name,iso3numeric,id,year,eiacty,oil_prod32_14,oil_price_2000,oil_price_nom,oil_value_nom,oil_value_2000,oil_value_2014,gas_prod55_14,gas_price_2000_mboe,gas_price_2000,gas_price_nom,gas_value_nom,gas_value_2000,gas_value_2014,oil_gas_value_nom,oil_gas_value_2000,oil_gas_value_2014,oil_gas_valuePOP_nom,oil_gas_valuePOP_2000,oil_gas_valuePOP_2014,oil_exports,net_oil_exports,net_oil_exports_mt,net_oil_exports_value,net_oil_exports_valuePOP,gas_exports,net_gas_exports_bcf,net_gas_exports_mboe,net_gas_exports_value,net_gas_exports_valuePOP,net_oil_gas_exports_valuePOP,population,pop_maddison,sovereign,mult_nom_2000,mult_nom_2014,mult_2000_2014
Afghanistan,4,AFG,1932,Afghanistan,,10.86086,0.87,,,,,0,,0.06,,,,,,,,,,,,,,,,,,,,,,,1,12.599874,17.32197312,1.3747735192
Afghanistan,4,AFG,1933,Afghanistan,,8.815239,0.67,,,,,0,,0.06,,,,,,,,,,,,,,,,,,,,,,,1,13.280064,18.25708032,1.3747735192
Afghanistan,4,AFG,1934,Afghanistan,,12.71579,1,,,,,0,,0.06,,,,,,,,,,,,,,,,,,,,,,,1,12.853008,17.66997504,1.3747735192
Afghanistan,4,AFG,1935,Afghanistan,,12.03969,0.97,,,,,0,,0.06,,,,,,,,,,,,,,,,,,,,,,,1,12.537882,17.23674816,1.3747735192
Afghanistan,4,AFG,1936,Afghanistan,,13.38321,1.09,,,,,0,,0.06,,,,,,,,,,,,,,,,,,,,,,,1,12.420786,17.07576768,1.3747735192
Afghanistan,4,AFG,1937,Afghanistan,,13.9813,1.18,,,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,,,1,11.986842,16.47919296,1.3747735192
Afghanistan,4,AFG,1938,Afghanistan,,13.66059,1.13,,,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,,,1,12.214146,16.79168448,1.3747735192
Afghanistan,4,AFG,1939,Afghanistan,,12.49909,1.02,,,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,,,1,12.38979,17.0331552,1.3747735192
Afghanistan,4,AFG,1940,Afghanistan,,12.37774,1.02,,,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,,,1,12.270972,16.86980736,1.3747735192
Afghanistan,4,AFG,1941,Afghanistan,,13.17518,1.14,,,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,,,1,11.688936,16.06963968,1.3747735192
Afghanistan,4,AFG,1942,Afghanistan,,12.42108,1.19,,,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,,,1,10.559304,14.51665152,1.3747735192
Afghanistan,4,AFG,1943,Afghanistan,,11.81433,1.2,,,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,,,1,9.951438,13.68097344,1.3747735192
Afghanistan,4,AFG,1944,Afghanistan,,11.71031,1.21,,,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,,,1,9.78096,13.4466048,1.3747735192
Afghanistan,4,AFG,1945,Afghanistan,,9.933396,1.05,,,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,,,1,9.560544,13.14358272,1.3747735192
Afghanistan,4,AFG,1946,Afghanistan,,9.768706,1.12,,,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,,,1,8.80803,12.1090464,1.3747735192
Afghanistan,4,AFG,1947,Afghanistan,,14.47537,1.9,,,,,0,,0.06,,,,,,,,,,,,,,,,,,,,,,,1,7.704228,10.59156864,1.3747735192
Afghanistan,4,AFG,1948,Afghanistan,,14.06798,1.99,,,,,0,,0.07,,,,,,,,,,,,,,,,,,,,,,,1,7.148022,9.82691136,1.3747735192
Afghanistan,4,AFG,1949,Afghanistan,,12.70712,1.78,,,,,0,,0.06,,,,,,,,,,,,,,,,,,,,,,,1,7.220346,9.92634048,1.3747735192
Afghanistan,4,AFG,1950,Afghanistan,,12.08303,1.71,,,,,0,,0.07,,,,,,,,,,,,,,,,,,,,,,8150368,1,7.148022,9.82691136,1.3747735192
Afghanistan,4,AFG,1951,Afghanistan,,11.19891,1.71,,,,,0,,0.07,,,,,,,,,,,,,,,,,,,,,,8284473,1,6.622812,9.10486656,1.3747735192
Afghanistan,4,AFG,1952,Afghanistan,,10.95621,1.71,,,,,0,,0.08,,,,,,,,,,,,,,,,,,,,,,8425333,1,6.48333,8.9131104,1.3747735192
Afghanistan,4,AFG,1953,Afghanistan,,12.27372,1.93,,,,,0,,0.09,,,,,,,,,,,,,,,,,,,,,,8573217,1,6.43167,8.8420896,1.3747735192
Afghanistan,4,AFG,1954,Afghanistan,,12.21305,1.93,,,,,0,,0.1,,,,,,,,,,,,,,,,,,,,,,8728408,1,6.400674,8.79947712,1.3747735192
Afghanistan,4,AFG,1955,Afghanistan,,12.26506,1.93,,,,,12384826.4999508,2.2876371308,0.1,,,,,,,,,,,,,,,,,,,,,,8891209,1,6.426504,8.83498752,1.3747735192
Afghanistan,4,AFG,1956,Afghanistan,,12.07436,1.93,,,,,13319530.6022402,2.4602890295,0.11,,,,,,,,,,,,,,,,,,,,,,9061938,1,6.333516,8.70715008,1.3747735192
Afghanistan,4,AFG,1957,Afghanistan,,11.47628,1.9,,,,,12852184.2618626,2.373964135,0.11,,,,,,,,,,,,,,,,,,,,,,9240934,1,6.111378,8.40176064,1.3747735192
Afghanistan,4,AFG,1958,Afghanistan,,12.24772,2.08,,,,,13786882.6533849,2.5466149789,0.12,,,,,,,,,,,,,,,,,,,,,,9428556,1,5.952954,8.18396352,1.3747735192
Afghanistan,4,AFG,1959,Afghanistan,,12.14371,2.08,,,,,14721586.7556743,2.7192668776,0.13,,,,,,,,,,,,,,,,,,,,,,9624606,1,5.901294,8.11294272,1.3747735192
Afghanistan,4,AFG,1960,Afghanistan,0,10.91287,1.9,0,0,0,0,15656296.5687308,2.8919198312,0.14,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,8774440,9829450,1,5.808306,7.98510528,1.3747735192
Afghanistan,4,AFG,1961,Afghanistan,0,10.23677,1.8,0,0,0,0,16357321.7900643,3.0214082278,0.15,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,8953544,10043473,1,5.75148,7.9069824,1.3747735192
